0.91667,0.6875,0.2676,0.47951,0.6315,0.33333,0.76338,0.91667,0.6444,0.798
0.95833,0.59375,0.71976,-0.0084572,0.66738,0.99413,0.96172,0.95833,0.72087,0.72101
1,0.5,0.82787,-0.058129,NaN,0.98058,1.0091,1,0.65277,0.64401
1,0.65625,0.72477,0.3992,NaN,0.99184,0.86493,0.65278,0.68492,0.47478
0.65278,0.96875,0.49912,0.70049,-0.30649,-0.57735,1.0095,1,0.6531,0.64401
0.41667,0.5,-0.6975,0.13523,-0.36438,0.94868,0.6497,0.88889,0.64903,0.88889
1,0.96875,0.82865,0.73581,NaN,0.57735,0.7328,0.66667,0.72863,0.66667
0.88889,0.5,0.0084392,0.16272,0.15914,1,0.57847,0.52778,0.5808,0.52778
0.65278,0.6875,0.23386,0.014252,0.5569,-0.6247,0.65176,0.43056,0.651,0.43056
0.66667,0.65625,0.19789,0.61928,-0.12813,0.27975,0.74929,0.68056,0.51738,0.44323
0.52778,0.3125,-0.15394,0.010107,-0.8742,0,0.59372,0.68056,0.53864,0.62122
0.43056,0.53125,0.013142,0.057979,0.9091,-0.50252,0.62864,0.54167,0.62886,0.54167
0.68056,0.40625,0.23548,0.05206,-0.20279,0.85519,0.83135,0.98611,0.65275,0.80812
0.68056,0.9375,-0.11918,0.71001,0.22638,1,0.51422,0.52778,0.51925,0.52778
0.54167,0.28125,-0.039564,-0.12424,-0.30982,0.96225,0.77011,0.81944,0.76437,0.81944
0.98611,0.5,0.42256,0.76563,0.77951,0.78446,0.96908,1,0.6144,0.64401
1,0.5625,0.78426,0.14605,NaN,-0.83205,0.61431,0.65625,0.50504,0.52083
0.52778,0.40625,-0.30042,0.29991,0.37822,-0.70353,0.49852,0.5,0.39413,0.36458
0.81944,0.6875,0.28295,0.27803,0.54665,0.87287,0.44363,0.3125,0.38979,0.26736
1,0.59375,0.73656,0.31249,NaN,0.39057,0.46463,0.53125,0.40991,0.48611
NaN,NaN,NaN,NaN,NaN,NaN,0.50326,0.5625,0.47104,0.5625
NaN,NaN,NaN,NaN,NaN,NaN,0.57075,0.40625,0.51156,0.36111
NaN,NaN,NaN,NaN,NaN,NaN,0.56115,0.6875,0.47825,0.59722
